frame,doa
908,[224.]
909,[74.]
910,[151.]
911,[133.]
912,[149.]
913,[151.]
914,[135.]
915,[138.]
916,[132.]
917,[134.]
918,[145.]
919,[123.]
920,[123.]
921,[103.]
922,[149.]
923,[154.]
924,[330.]
925,[134.]
926,[145.]
927,[106.]
928,[150.]
929,[145.]
930,[155.]
931,[81.]
932,[81.]
933,[227.]
934,[230.]
935,[226.]
936,[222.]
937,[158.]
938,[143.]
939,[143.]
940,[159.]
941,[151.]
942,[155.]
943,[148.]
944,[145.]
945,[264.]
946,[151.]
947,[158.]
948,[155.]
949,[169.]
950,[202.]
951,[49.]
952,[153.]
953,[157.]
954,[153.]
955,[161.]
956,[159.]
957,[158.]
958,[156.]
959,[159.]
960,[158.]
961,[152.]
962,[144.]
963,[128.]
964,[141.]
965,[260.]
966,[127.]
967,[111.]
968,[138.]
969,[143.]
970,[145.]
971,[143.]
972,[147.]
973,[140.]
974,[152.]
975,[108.]
976,[158.]
977,[175.]
978,[142.]
979,[150.]
980,[133.]
981,[145.]
982,[143.]
983,[143.]
984,[143.]
985,[146.]
986,[139.]
987,[273.]
988,[143.]
989,[138.]
990,[137.]
991,[267.]
992,[235.]
993,[235.]
994,[142.]
995,[292.]
996,[323.]
997,[326.]
998,[247.]
999,[236.]
1000,[331.]
1001,[233.]
1002,[239.]
1003,[239.]
1004,[239.]
1005,[333.]
1006,[331.]
1007,[332.]
1008,[319.]
1009,[236.]
1010,[226.]
1011,[232.]
1012,[237.]
1013,[131.]
1014,[141.]
1015,[139.]
1016,[142.]
1017,[139.]
1018,[324.]
1019,[332.]
1020,[332.]
1021,[219.]
1022,[124.]
1023,[139.]
1024,[236.]
1025,[230.]
1026,[141.]
1027,[233.]
1028,[237.]
1029,[237.]
1030,[235.]
1031,[236.]
1032,[237.]
1033,[234.]
1034,[230.]
1035,[141.]
1036,[224.]
1037,[239.]
1038,[223.]
1039,[225.]
1040,[231.]
1041,[231.]
1042,[245.]
1043,[238.]
1044,[236.]
1045,[43.]
1046,[240.]
1047,[241.]
1048,[268.]
1049,[111.]
1050,[325.]
1051,[324.]
1052,[327.]
1053,[328.]
1054,[327.]
1055,[328.]
1056,[323.]
1057,[325.]
1058,[330.]
1059,[326.]
1060,[326.]
1061,[327.]
1062,[326.]
1063,[327.]
1064,[327.]
1065,[328.]
1066,[328.]
1067,[103.]
1068,[328.]
1069,[332.]
1070,[330.]
1071,[329.]
1072,[333.]
1073,[331.]
1074,[331.]
1075,[331.]
1076,[327.]
1077,[330.]
1078,[328.]
1079,[335.]
1080,[276.]
1081,[284.]
1082,[105.]
1083,[271.]
1084,[71.]
1085,[336.]
1086,[75.]
1087,[337.]
1088,[77.]
1089,[75.]
1090,[334.]
1091,[335.]
1092,[77.]
1093,[76.]
1094,[78.]
1095,[79.]
1096,[137.]
1097,[78.]
1098,[73.]
1099,[77.]
1100,[77.]
1101,[78.]
1102,[332.]
1103,[337.]
1104,[190.]
1105,[231.]
1106,[332.]
1107,[334.]
1108,[333.]
1109,[334.]
1110,[338.]
1111,[336.]
1112,[275.]
1113,[334.]
1114,[140.]
1115,[334.]
1116,[340.]
1117,[226.]
1118,[221.]
1119,[223.]
1120,[272.]
1121,[256.]
1122,[129.]
1123,[131.]
1124,[74.]
1125,[66.]
1126,[68.]
1127,[66.]
1128,[68.]
1129,[80.]
1130,[225.]
1131,[13.]
1132,[337.]
1133,[326.]
1134,[333.]
1135,[357.]
1136,[209.]
1137,[213.]
1138,[233.]
1139,[229.]
1140,[220.]
1141,[251.]
1142,[246.]
1143,[247.]
1144,[240.]
1145,[252.]
1146,[248.]
1147,[240.]
1148,[139.]
1149,[82.]
1150,[243.]
1151,[140.]
1152,[139.]
1153,[242.]
1154,[249.]
1155,[246.]
1156,[249.]
1157,[131.]
1158,[126.]
1159,[137.]
1160,[132.]
1161,[133.]
1162,[144.]
1163,[140.]
1164,[267.]
1165,[269.]
1166,[148.]
1167,[263.]
1168,[144.]
1169,[146.]
1170,[132.]
1171,[268.]
1172,[267.]
1173,[267.]
1174,[272.]
1175,[266.]
1176,[149.]
1177,[150.]
1178,[151.]
1179,[153.]
1180,[154.]
1181,[151.]
1182,[90.]
1183,[154.]
1184,[150.]
1185,[235.]
1186,[156.]
1187,[151.]
1188,[146.]
1189,[270.]
1190,[152.]
1191,[147.]
1192,[153.]
1193,[153.]
1194,[153.]
1195,[155.]
1196,[271.]
1197,[159.]
1198,[155.]
1199,[154.]
1200,[258.]
1201,[153.]
1202,[147.]
1203,[160.]
1204,[158.]
1205,[161.]
1206,[81.]
1207,[154.]
1208,[158.]
1209,[149.]
1210,[152.]
1211,[139.]
1212,[147.]
1213,[148.]
1214,[146.]
1215,[147.]
1216,[276.]
1217,[146.]
1218,[146.]
1219,[145.]
1220,[149.]
1221,[149.]
1222,[258.]
1223,[238.]
1224,[236.]
1225,[167.]
1226,[197.]
1227,[155.]
1228,[153.]
1229,[157.]
1230,[162.]
1231,[159.]
1232,[156.]
1233,[168.]
1234,[154.]
1235,[150.]
1236,[151.]
1237,[166.]
1238,[161.]
1239,[93.]
1240,[161.]
1241,[151.]
1242,[163.]
1243,[238.]
1244,[168.]
1245,[161.]
1246,[167.]
1247,[170.]
1248,[164.]
1249,[152.]
1250,[150.]
1251,[202.]
1252,[196.]
1253,[230.]
1254,[270.]
1255,[147.]
1256,[30.]
1257,[280.]
1258,[227.]
1259,[154.]
1260,[153.]
1261,[148.]
1262,[158.]
1263,[147.]
1264,[148.]
1265,[124.]
1266,[110.]
1267,[145.]
1268,[149.]
1269,[151.]
1270,[156.]
1271,[156.]
1272,[151.]
1273,[149.]
1274,[153.]
1275,[156.]
1276,[162.]
1277,[156.]
1278,[158.]
1279,[163.]
1280,[160.]
1281,[163.]
1282,[161.]
1283,[160.]
1284,[157.]
1285,[153.]
1286,[150.]
1287,[146.]
1288,[148.]
1289,[197.]
1290,[149.]
1291,[179.]
1292,[150.]
1293,[154.]
1294,[157.]
1295,[159.]
1296,[231.]
1297,[164.]
1298,[230.]
1299,[160.]
1300,[260.]
1301,[227.]
1302,[231.]
1303,[238.]
1304,[242.]
1305,[235.]
1306,[234.]
1307,[231.]
1308,[231.]
1309,[332.]
1310,[158.]
1311,[152.]
1312,[147.]
1313,[149.]
1314,[155.]
1315,[152.]
1316,[151.]
1317,[153.]
1318,[151.]
1319,[228.]
1320,[237.]
1321,[232.]
1322,[244.]
1323,[237.]
1324,[232.]
1325,[142.]
1326,[142.]
1327,[270.]
1328,[267.]
1329,[271.]
1330,[130.]
1331,[337.]
1332,[334.]
1333,[248.]
1334,[336.]
1335,[274.]
1336,[314.]
1337,[337.]
1338,[280.]
1339,[296.]
1340,[277.]
1341,[143.]
1342,[139.]
1343,[138.]
1344,[139.]
1345,[144.]
1346,[141.]
1347,[115.]
1348,[293.]
1349,[262.]
1350,[243.]
1351,[231.]
1352,[231.]
1353,[237.]
1354,[234.]
1355,[235.]
1356,[232.]
1357,[269.]
1358,[153.]
1359,[154.]
1360,[216.]
1361,[212.]
1362,[217.]
1363,[224.]
1364,[225.]
1365,[228.]
1366,[226.]
1367,[212.]
1368,[222.]
1369,[148.]
1370,[202.]
1371,[200.]
1372,[203.]
1373,[209.]
1374,[222.]
1375,[77.]
1376,[78.]
1377,[76.]
1378,[77.]
1379,[77.]
1380,[76.]
1381,[78.]
1382,[73.]
1383,[77.]
1384,[137.]
1385,[79.]
1386,[96.]
1387,[80.]
1388,[74.]
1389,[83.]
1390,[76.]
1391,[78.]
1392,[78.]
1393,[83.]
1394,[123.]
1395,[80.]
1396,[79.]
1397,[75.]
1398,[79.]
1399,[75.]
1400,[78.]
1401,[229.]
1402,[78.]
1403,[79.]
1404,[77.]
1405,[79.]
1406,[299.]
1407,[82.]
1408,[136.]
1409,[139.]
1410,[260.]
1411,[132.]
1412,[272.]
1413,[137.]
1414,[306.]
1415,[140.]
1416,[138.]
1417,[137.]
1418,[148.]
1419,[166.]
1420,[275.]
1421,[237.]
1422,[233.]
1423,[236.]
1424,[238.]
1425,[234.]
1426,[238.]
1427,[252.]
1428,[232.]
1429,[245.]
1430,[237.]
1431,[235.]
1432,[233.]
1433,[270.]
1434,[253.]
1435,[231.]
1436,[235.]
1437,[248.]
1438,[268.]
1439,[236.]
1440,[230.]
1441,[231.]
1442,[225.]
1443,[236.]
1444,[245.]
1445,[234.]
1446,[233.]
1447,[239.]
1448,[231.]
1449,[234.]
1450,[229.]
1451,[238.]
1452,[226.]
1453,[80.]
1454,[235.]
1455,[233.]
1456,[228.]
1457,[228.]
1458,[229.]
1459,[235.]
1460,[245.]
1461,[229.]
1462,[228.]
1463,[235.]
1464,[234.]
1465,[233.]
1466,[236.]
1467,[234.]
1468,[75.]
1469,[239.]
1470,[238.]
1471,[67.]
1472,[63.]
1473,[65.]
1474,[144.]
1475,[267.]
1476,[246.]
1477,[152.]
1478,[235.]
1479,[150.]
1480,[149.]
1481,[261.]
1482,[154.]
1483,[159.]
1484,[152.]
1485,[158.]
1486,[161.]
1487,[164.]
1488,[159.]
1489,[162.]
1490,[175.]
1491,[176.]
1492,[160.]
1493,[83.]
1494,[151.]
1495,[149.]
1496,[103.]
1497,[147.]
1498,[140.]
1499,[156.]
1500,[270.]
1501,[265.]
1502,[148.]
1503,[154.]
1504,[160.]
1505,[171.]
1506,[158.]
1507,[166.]
1508,[184.]
1509,[165.]
1510,[208.]
1511,[171.]
1512,[159.]
1513,[160.]
1514,[151.]
1515,[115.]
1516,[89.]
1517,[153.]
1518,[151.]
1519,[238.]
1520,[257.]
1521,[154.]
1522,[271.]
1523,[269.]
1524,[141.]
1525,[151.]
1526,[95.]
1527,[153.]
1528,[153.]
1529,[151.]
1530,[159.]
1531,[260.]
1532,[150.]
1533,[150.]
1534,[149.]
1535,[151.]
1536,[152.]
1537,[267.]
1538,[260.]
1539,[270.]
1540,[266.]
1541,[272.]
1542,[260.]
1543,[147.]
1544,[149.]
1545,[266.]
1546,[261.]
1547,[153.]
1548,[150.]
1549,[151.]
1550,[152.]
1551,[150.]
1552,[137.]
