frame,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
6,1098.48,249.3,0.83285,1134.67,319.383,0.665541,1073.65,323.901,0.511138,1017.1,396.271,0.289933,0,0,0,1196.86,312.564,0.531873,1200.26,397.405,0.115373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.29,239.072,0.824225,1114.32,232.309,0.813517,1080.36,248.139,0.0652348,1147.15,237.985,0.793506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,619.009,230.03,0.83861,658.623,321.622,0.43345,585.126,317.124,0.267202,560.247,403.062,0.228562,583.993,276.402,0.745997,741.178,325.032,0.397972,809.034,413.25,0.136192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.41,211.976,0.74352,638.312,204.003,0.870449,0,0,0,674.448,221.005,0.69775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1651.52,237.92,0.839095,1653.72,285.498,0.689203,1599.42,287.707,0.612305,1589.25,356.683,0.255314,0,0,0,1710.24,286.591,0.44204,1739.67,256.032,0.211111,1701.21,236.846,0.0544689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.27,224.423,0.855992,1667.3,227.799,0.831251,1624.31,237.977,0.632769,1685.36,241.37,0.60938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1382.32,239.079,0.853294,1380.1,323.912,0.706223,1326.92,325.022,0.610454,1324.68,400.783,0.160215,0,0,0,1434.37,322.786,0.656651,1470.54,386.094,0.0846124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.98,230.083,0.956921,1395.88,231.127,0.904635,1350.66,249.321,0.663504,1408.34,252.683,0.509276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1652.58,236.852,0.845141,1655.98,285.434,0.717364,1599.45,286.629,0.622283,1589.27,361.226,0.255072,0,0,0,1712.5,284.307,0.483619,1740.77,254.943,0.278965,1697.81,237.953,0.121838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.3,224.401,0.881269,1667.27,227.762,0.822089,1624.33,236.82,0.654497,1681.98,239.065,0.611751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1098.49,249.296,0.845651,1135.83,317.11,0.664421,1079.27,320.487,0.57015,1018.22,390.611,0.331902,976.373,394.024,0.0630693,1196.87,311.49,0.55108,1201.4,392.888,0.164699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.28,239.062,0.832391,1114.3,232.302,0.815454,1080.36,248.125,0.0559479,1147.13,237.936,0.794406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,616.773,230.046,0.809911,663.158,322.764,0.392953,594.172,315.999,0.295453,562.509,403.044,0.275408,583.942,276.404,0.760622,740.045,326.179,0.373027,808.98,413.251,0.0961278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.164,212,0.799014,637.183,203.999,0.89786,0,0,0,674.43,219.889,0.698523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1382.33,239.107,0.854917,1380.07,322.775,0.733095,1326.91,322.807,0.648403,1325.77,401.946,0.160779,0,0,0,1434.35,321.696,0.672461,1470.51,386.095,0.105531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.98,230.088,0.958591,1395.88,230.098,0.908666,1350.67,249.311,0.679477,1408.32,251.528,0.535268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1652.57,236.848,0.839772,1652.57,285.471,0.708608,1599.45,286.617,0.630094,1590.39,361.215,0.261626,0,0,0,1706.86,285.48,0.460714,1739.63,256.045,0.636153,1687.66,232.349,0.268356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.29,224.401,0.873001,1667.27,227.77,0.827028,1624.29,236.828,0.649003,1682,239.129,0.629027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1098.51,249.319,0.839982,1135.82,317.102,0.663713,1079.28,320.498,0.54956,1018.19,391.752,0.332024,976.37,392.872,0.0568439,1195.75,311.453,0.536021,1203.66,390.621,0.175296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.29,239.087,0.860844,1114.33,232.339,0.809756,1080.34,248.105,0.0551733,1148.26,239.042,0.80074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
